"restaurant_name","cuisine_type","cost_of_the_order","rating","day_of_wk","customer_num_order","rst_num_order","customer_neighbourhood","customer_region","complete_time","rst_num_order_binned","Cluster"
"Hangawi","Korean",30.75,3.7,"Sun",2,2,"Murray Hill","East Side",45,"Low","cluster_3"
"Blue Ribbon Sushi Izakaya","Japanese",12.08,3.3,"Sat",1,29,"Hell's Kitchen","West Side",48,"Mid","cluster_2"
"Cafe Habana","Mexican",12.23,3.1,"Fri",1,16,"Chinatown","South Manhattan",51,"Low","cluster_2"
"Blue Ribbon Fried Chicken","American",29.2,3.7,"Sun",2,96,"West Village","South Manhattan",40,"High","cluster_3"
"Dirty Bird to Go","American",11.59,2.8,"Mon",3,4,"Upper West Side","West Side",49,"Low","cluster_2"
"Tamarind TriBeCa","Indian",25.22,4.4,"Tue",3,27,"Kips Bay","East Side",44,"Mid","cluster_3"
"The Meatball Shop","Italian",6.07,3.2,"Sat",1,132,"Midtown","Midtown",49,"Very High","cluster_2"
"Barbounia","Mediterranean",5.97,3.4,"Mon",1,6,"Upper East Side","East Side",63,"Low","cluster_1"
"Anjappar Chettinad","Indian",16.44,3.2,"Mon",3,1,"Harlem","Upper Manhattan",47,"Low","cluster_2"
"Bukhara Grill","Indian",7.18,3.3,"Mon",2,2,"Upper East Side","East Side",55,"Low","cluster_1"
"Empanada Mama","Mexican",8.1,3,"Sun",1,13,"East Village","South Manhattan",45,"Low","cluster_2"
"Blue Ribbon Fried Chicken","American",24.3,3.6,"Sat",2,96,"Hell's Kitchen","West Side",40,"High","cluster_3"
"Pylos","Mediterranean",11.3,3.3,"Sun",3,5,"Flatiron District","Midtown",47,"Low","cluster_2"
"Lucky's Famous Burgers","American",12.13,3.3,"Thu",4,6,"Midtown","Midtown",53,"Low","cluster_1"
"Shake Shack","American",16.2,3.6,"Sun",1,219,"Lower East Side","South Manhattan",58,"Very High","cluster_1"
"Sushi of Gari","Japanese",16.98,3.4,"Sat",3,16,"Upper West Side","West Side",46,"Low","cluster_2"
"Blue Ribbon Sushi Izakaya","Japanese",33.03,4,"Sat",2,29,"East Village","South Manhattan",43,"Mid","cluster_3"
"RedFarm Hudson","Chinese",14.12,3.5,"Sat",5,55,"Lower East Side","South Manhattan",49,"Mid","cluster_0"
"Blue Ribbon Sushi","Japanese",16.2,3.8,"Sat",2,119,"Kips Bay","East Side",61,"High","cluster_1"
"Five Guys Burgers and Fries","American",24.2,3.5,"Sat",8,29,"Chelsea","West Side",45,"Mid","cluster_0"
"Shake Shack","American",15.91,3.1,"Sun",3,219,"East Harlem","Upper Manhattan",45,"Very High","cluster_2"
"Shake Shack","American",29.1,4.6,"Wed",1,219,"Upper East Side","East Side",51,"Very High","cluster_3"
"Tortaria","Mexican",8.92,2.9,"Sun",3,4,"Hell's Kitchen","West Side",49,"Low","cluster_2"
"Cafe Mogador","Middle Eastern",29.1,4.7,"Wed",2,18,"East Village","South Manhattan",49,"Low","cluster_3"
"The Meatball Shop","Italian",21.88,4,"Thu",2,132,"Upper West Side","West Side",51,"Very High","cluster_3"
"Otto Enoteca Pizzeria","Italian",14.02,3.6,"Sat",4,12,"Upper East Side","East Side",40,"Low","cluster_2"
"Sushi of Gari 46","Japanese",12.18,3.6,"Wed",4,37,"East Harlem","Upper Manhattan",49,"Mid","cluster_2"
"The Kati Roll Company","Indian",31.33,4.4,"Sat",2,16,"East Village","South Manhattan",53,"Low","cluster_3"
"Klong","Thai",29.05,4.7,"Sat",3,1,"Upper East Side","East Side",59,"Low","cluster_3"
"5 Napkin Burger","American",8.39,2.8,"Mon",1,5,"Midtown","Midtown",59,"Low","cluster_1"
"Parm","Italian",29.1,4.4,"Sat",2,68,"Upper East Side","East Side",56,"High","cluster_3"
"Sushi Samba","Japanese",15.47,3.4,"Sat",1,11,"Midtown","Midtown",58,"Low","cluster_1"
"Blue Ribbon Sushi","Japanese",16.01,4.1,"Wed",2,119,"Upper East Side","East Side",54,"High","cluster_1"
"The Meatball Shop","Italian",24.3,3.7,"Fri",1,132,"Inwood","Upper Manhattan",60,"Very High","cluster_3"
"Haru Gramercy Park","Japanese",29.83,4.3,"Tue",2,1,"East Village","South Manhattan",52,"Low","cluster_3"
"Shake Shack","American",19.89,3.6,"Sat",1,219,"Hell's Kitchen","West Side",46,"Very High","cluster_2"
"Chipotle Mexican Grill","Mexican",19.35,3.4,"Sat",4,23,"Kips Bay","East Side",39,"Mid","cluster_2"
"TAO","Japanese",33.22,4,"Sat",2,49,"Upper East Side","East Side",42,"Mid","cluster_3"
"RedFarm Broadway","Chinese",24.25,3.9,"Sat",1,59,"Murray Hill","East Side",37,"Mid","cluster_3"
"Cafeteria","American",16.44,3.4,"Sat",6,9,"Inwood","Upper Manhattan",55,"Low","cluster_0"
"Five Guys Burgers and Fries","American",22.75,3.7,"Sun",1,29,"East Village","South Manhattan",50,"Mid","cluster_3"
"The Meatball Shop","Italian",6.74,3.3,"Sun",1,132,"Chelsea","West Side",52,"Very High","cluster_1"
"DuMont Burger","American",29.05,3.9,"Sun",4,3,"Upper East Side","East Side",52,"Low","cluster_3"
"Sarabeth's East","American",13.78,3.6,"Sun",1,7,"Gramercy","East Side",58,"Low","cluster_1"
"Blue Ribbon Fried Chicken","American",19.89,4.2,"Wed",2,96,"Lower East Side","South Manhattan",51,"High","cluster_3"
"Hill Country Fried Chicken","Southern",16.93,3.7,"Sun",5,14,"Hell's Kitchen","West Side",54,"Low","cluster_0"
"Bistango","Italian",21.88,3.7,"Sat",3,2,"Hell's Kitchen","West Side",40,"Low","cluster_3"
"Blue Ribbon Fried Chicken","American",29.39,3.9,"Sun",5,96,"Kips Bay","East Side",55,"High","cluster_3"
"TAO","Japanese",20.23,3.2,"Sun",1,49,"Harlem","Upper Manhattan",42,"Mid","cluster_2"
"Jack's Wife Freda","Mediterranean",22.75,4.3,"Sun",1,25,"Upper East Side","East Side",64,"Mid","cluster_3"
"Mamoun's Falafel","Mediterranean",14.12,3.6,"Sun",2,7,"East Village","South Manhattan",46,"Low","cluster_2"
"Sushi of Gari 46","Japanese",14.6,2.9,"Mon",1,37,"Chelsea","West Side",48,"Mid","cluster_2"
"Prosperity Dumpling","Chinese",14.02,3.5,"Sat",1,3,"Harlem","Upper Manhattan",50,"Low","cluster_2"
"Blue Ribbon Fried Chicken","American",6.79,2.7,"Mon",1,96,"Midtown","Midtown",61,"High","cluster_1"
"Blue Ribbon Fried Chicken","American",24.25,3.9,"Sat",1,96,"West Village","South Manhattan",49,"High","cluster_3"
"Blue Ribbon Sushi Bar & Grill","Japanese",33.03,3.9,"Sun",3,44,"East Village","South Manhattan",53,"Mid","cluster_3"
"Cafe Habana","Mexican",31.38,3.9,"Sat",3,16,"East Village","South Manhattan",50,"Low","cluster_3"
"Westville Hudson","American",8.34,3.7,"Wed",1,15,"Upper West Side","West Side",48,"Low","cluster_2"
"Shake Shack","American",33.03,4.3,"Wed",7,219,"Harlem","Upper Manhattan",54,"Very High","cluster_3"
"Blue Ribbon Brooklyn","American",24.2,3.4,"Mon",1,4,"Chelsea","West Side",54,"Low","cluster_3"
"RedFarm Broadway","Chinese",12.46,3.4,"Sat",1,59,"Hell's Kitchen","West Side",44,"Mid","cluster_2"
"Nobu Next Door","Japanese",15.86,3.4,"Sun",2,42,"East Village","South Manhattan",52,"Mid","cluster_1"
"Osteria Morini","Italian",14.55,3.5,"Sun",2,14,"Harlem","Upper Manhattan",56,"Low","cluster_1"
"Blue Ribbon Fried Chicken","American",32.93,3.8,"Sat",7,96,"East Harlem","Upper Manhattan",47,"High","cluster_3"
"Shake Shack","American",16.98,3.4,"Sat",2,219,"Upper West Side","West Side",43,"Very High","cluster_2"
"Shake Shack","American",8,3.3,"Sun",1,219,"Upper East Side","East Side",50,"Very High","cluster_2"
"Parm","Italian",13.05,3.5,"Sat",1,68,"Theater District","Midtown",55,"High","cluster_1"
"Sushi Samba","Japanese",29.05,3.8,"Sat",4,11,"Upper West Side","West Side",47,"Low","cluster_3"
"Haandi","Indian",5.67,3.3,"Fri",4,2,"Upper East Side","East Side",54,"Low","cluster_1"
"The Meatball Shop","Italian",16.93,3.9,"Sat",1,132,"East Village","South Manhattan",55,"Very High","cluster_1"
"Benihana","Japanese",29.29,3.4,"Sun",6,5,"Hell's Kitchen","West Side",38,"Low","cluster_3"
"The Kati Roll Company","Indian",16.15,3.5,"Sun",1,16,"Theater District","Midtown",49,"Low","cluster_2"
"RedFarm Hudson","Chinese",22.75,3.9,"Sun",1,55,"Chelsea","West Side",61,"Mid","cluster_3"
"Han Dynasty","Chinese",13.34,3.5,"Sat",4,46,"Washington Heights","Upper Manhattan",61,"Mid","cluster_1"
"Shake Shack","American",9.75,3.4,"Sat",3,219,"Hell's Kitchen","West Side",58,"Very High","cluster_1"
"Cafeteria","American",6.69,3.2,"Thu",6,9,"Harlem","Upper Manhattan",53,"Low","cluster_0"
"Shake Shack","American",4.75,3.1,"Mon",1,219,"Kips Bay","East Side",63,"Very High","cluster_1"
"Chipotle Mexican Grill","Mexican",12.56,3.1,"Sun",1,23,"East Village","South Manhattan",40,"Mid","cluster_2"
"The Meatball Shop","Italian",21.2,3.7,"Sun",2,132,"Chelsea","West Side",50,"Very High","cluster_3"
"Tortaria","Mexican",19.31,3.7,"Sat",1,4,"Lower East Side","South Manhattan",55,"Low","cluster_1"
"Nobu Next Door","Japanese",16.3,3.5,"Tue",5,42,"Harlem","Upper Manhattan",44,"Mid","cluster_0"
"Otto Enoteca Pizzeria","Italian",13.05,4.3,"Wed",2,12,"West Village","South Manhattan",60,"Low","cluster_1"
"TAO","Japanese",25.27,3,"Mon",3,49,"Midtown","Midtown",48,"Mid","cluster_3"
"Hill Country Fried Chicken","Southern",14.79,3.7,"Sun",2,14,"Hell's Kitchen","West Side",50,"Low","cluster_2"
"Shake Shack","American",5.72,3.8,"Wed",1,219,"East Village","South Manhattan",55,"Very High","cluster_1"
"Chote Nawab","Indian",16.15,3.6,"Sat",7,1,"Harlem","Upper Manhattan",54,"Low","cluster_0"
"RedFarm Hudson","Chinese",33.03,4.2,"Sat",2,55,"West Village","South Manhattan",48,"Mid","cluster_3"
"Mission Cantina","Mexican",16.2,3.5,"Sat",2,5,"Gramercy","East Side",49,"Low","cluster_2"
"Xi'an Famous Foods","Chinese",9.22,3.8,"Thu",3,9,"West Village","South Manhattan",63,"Low","cluster_1"
"Blue Ribbon Fried Chicken","American",16.39,3.3,"Sun",3,96,"Hell's Kitchen","West Side",49,"High","cluster_2"
"Blue Ribbon Fried Chicken","American",12.18,3.1,"Fri",2,96,"Hell's Kitchen","West Side",56,"High","cluster_1"
"Shake Shack","American",24.2,3.5,"Fri",1,219,"Washington Heights","Upper Manhattan",58,"Very High","cluster_3"
"Sarabeth's East","American",17.03,3.8,"Sat",1,7,"Gramercy","East Side",56,"Low","cluster_1"
"Rubirosa","Italian",21.83,4,"Sat",1,37,"Chelsea","West Side",57,"Mid","cluster_3"
"Blue Ribbon Fried Chicken","American",31.29,4.6,"Wed",3,96,"East Village","South Manhattan",55,"High","cluster_3"
"Blue Ribbon Sushi","Japanese",11.83,3.4,"Sat",4,119,"Upper East Side","East Side",47,"High","cluster_2"
"Five Guys Burgers and Fries","American",24.3,3.5,"Sun",9,29,"Financial District","South Manhattan",50,"Mid","cluster_0"
"The Meatball Shop","Italian",22.26,3.8,"Sun",2,132,"Chelsea","West Side",53,"Very High","cluster_3"
"TAO","Japanese",20.47,3.4,"Sun",1,49,"Harlem","Upper Manhattan",56,"Mid","cluster_1"
"Blue Ribbon Sushi","Japanese",12.18,3.2,"Sat",2,119,"Midtown","Midtown",53,"High","cluster_1"
"Joe’s Shanghai","Chinese",15.81,3.3,"Sun",7,4,"West Village","South Manhattan",46,"Low","cluster_0"
"Otto Enoteca Pizzeria","Italian",22.36,4,"Sat",2,12,"West Village","South Manhattan",53,"Low","cluster_3"
"Blue Ribbon Sushi","Japanese",8.68,3.4,"Sat",1,119,"Upper West Side","West Side",61,"High","cluster_1"
"Shake Shack","American",21.83,3.5,"Sat",5,219,"Upper West Side","West Side",45,"Very High","cluster_0"
"Bareburger","American",16.3,3.8,"Tue",2,27,"Upper West Side","West Side",48,"Mid","cluster_2"
"The Odeon","American",12.9,3.3,"Fri",1,3,"Lower East Side","South Manhattan",59,"Low","cluster_1"
"Parm","Italian",29.15,3.6,"Mon",1,68,"Upper West Side","West Side",50,"High","cluster_3"
"Pongsri Thai","Thai",13.05,4.2,"Wed",1,2,"Midtown","Midtown",55,"Low","cluster_1"
"Yama Japanese Restaurant","Japanese",22.36,3.6,"Sat",2,18,"Upper West Side","West Side",46,"Low","cluster_3"
"Shake Shack","American",31.29,4.1,"Thu",3,219,"Harlem","Upper Manhattan",58,"Very High","cluster_3"
"Blue Ribbon Fried Chicken","American",7.86,3.2,"Thu",7,96,"Washington Heights","Upper Manhattan",55,"High","cluster_0"
"Yama Japanese Restaurant","Japanese",16.1,3.5,"Sun",1,18,"Hell's Kitchen","West Side",60,"Low","cluster_1"
"Momoya","Japanese",16.98,3.2,"Fri",3,30,"Harlem","Upper Manhattan",63,"Mid","cluster_1"
"Osteria Morini","Italian",12.95,3.4,"Sat",7,14,"East Harlem","Upper Manhattan",54,"Low","cluster_0"
"Blue Ribbon Fried Chicken","American",11.69,3.1,"Sun",1,96,"Chelsea","West Side",45,"High","cluster_2"
"The Meatball Shop","American",12.32,3.1,"Sun",1,132,"Harlem","Upper Manhattan",50,"Very High","cluster_2"
"Balthazar Boulangerie","French",12.13,3.2,"Sun",2,10,"Upper East Side","East Side",49,"Low","cluster_2"
