"row ID","restaurant_name","cuisine_type","cost_of_the_order","rating","day_of_wk","customer_num_order","rst_num_order","customer_neighbourhood","customer_region","complete_time","rst_num_order_binned","Prediction (rating)"
"Row0","Hangawi","Korean",30.75,3.7,"Sun",2,2,"Murray Hill","East Side",45,"Low",3.82617292776774
"Row1","Blue Ribbon Sushi Izakaya","Japanese",12.08,3.3,"Sat",1,29,"Hell's Kitchen","West Side",48,"Mid",3.3087832560129695
"Row2","Cafe Habana","Mexican",12.23,3.1,"Fri",1,16,"Chinatown","South Manhattan",51,"Low",3.3975990887920937
"Row3","Blue Ribbon Fried Chicken","American",29.2,3.7,"Sun",2,96,"West Village","South Manhattan",40,"High",3.6580847286165663
"Row4","Dirty Bird to Go","American",11.59,2.8,"Mon",3,4,"Upper West Side","West Side",49,"Low",3.4875314995140694
"Row5","Tamarind TriBeCa","Indian",25.22,4.4,"Tue",3,27,"Kips Bay","East Side",44,"Mid",4.052708936442624
"Row6","The Meatball Shop","Italian",6.07,3.2,"Sat",1,132,"Midtown","Midtown",49,"Very High",3.106433552889147
"Row7","Barbounia","Mediterranean",5.97,3.4,"Mon",1,6,"Upper East Side","East Side",63,"Low",3.716273336755085
"Row8","Anjappar Chettinad","Indian",16.44,3.2,"Mon",3,1,"Harlem","Upper Manhattan",47,"Low",3.467536108289949
"Row9","Bukhara Grill","Indian",7.18,3.3,"Mon",2,2,"Upper East Side","East Side",55,"Low",3.5620304202462907
"Row11","Empanada Mama","Mexican",8.1,3,"Sun",1,13,"East Village","South Manhattan",45,"Low",3.0760543131008227
"Row12","Blue Ribbon Fried Chicken","American",24.3,3.6,"Sat",2,96,"Hell's Kitchen","West Side",40,"High",3.6297552317942348
"Row13","Pylos","Mediterranean",11.3,3.3,"Sun",3,5,"Flatiron District","Midtown",47,"Low",3.2229681366065304
"Row14","Lucky's Famous Burgers","American",12.13,3.3,"Thu",4,6,"Midtown","Midtown",53,"Low",3.5357979657538428
"Row15","Shake Shack","American",16.2,3.6,"Sun",1,219,"Lower East Side","South Manhattan",58,"Very High",3.465851016443924
"Row16","Sushi of Gari","Japanese",16.98,3.4,"Sat",3,16,"Upper West Side","West Side",46,"Low",3.3999683369169724
"Row17","Blue Ribbon Sushi Izakaya","Japanese",33.03,4,"Sat",2,29,"East Village","South Manhattan",43,"Mid",3.885311990787752
"Row18","RedFarm Hudson","Chinese",14.12,3.5,"Sat",5,55,"Lower East Side","South Manhattan",49,"Mid",3.444681919171386
"Row19","Blue Ribbon Sushi","Japanese",16.2,3.8,"Sat",2,119,"Kips Bay","East Side",61,"High",3.6191963442321007
